Outlook,Humidity,Wind,Result
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
Sunny,normal,strong,yes
Sunny,normal,weak,yes
Sunny,high,strong,no
Sunny,high,weak,no
